experiment_id,accuracy,hidden_size,batch_size,num_layers,dropout_rate,learning_rate
11,0.871578947368421,384,256,4,0.256981156841053,0.0005148059937588893
49,0.87,256,128,3,0.2310812812350272,0.0011616454363427254
48,0.8660526315789474,384,32,4,0.3795531004895456,0.0006076079613809699
16,0.8607894736842105,320,256,4,0.4368382702581321,0.000977730776366136
13,0.8563157894736843,192,32,5,0.213222695960505,0.0007284806714367232
28,0.8513157894736842,352,32,5,0.28336356301241494,0.00020173184427655383
38,0.8513157894736842,224,32,3,0.21300551901158726,0.00043261266522512284
26,0.8505263157894737,288,128,2,0.41177128092467147,0.0011366717355035924
27,0.8492105263157895,192,64,4,0.3359757223154612,0.0004881382497752265
3,0.8476315789473684,256,128,4,0.1798695128633439,0.0003489018845491386
20,0.8407894736842105,224,32,3,0.4353523847892582,0.00022025398223586185
29,0.8392105263157895,224,128,4,0.19707073784607282,0.0004375649288000954
47,0.8389473684210527,288,256,5,0.16866339079720455,0.0003802796408211247
34,0.8373684210526315,256,128,3,0.1621543882800797,0.0033189201966013276
8,0.8347368421052631,160,64,3,0.15636968998990508,0.002550298070162891
33,0.8236842105263158,320,128,5,0.23586271626725733,0.00015086931883381775
23,0.8194736842105264,320,32,4,0.3505915654206465,5.992562648597351e-05
22,0.8181578947368421,128,32,3,0.1883748798354471,0.00013243008233791056
17,0.8178947368421052,192,64,2,0.3184847868209858,0.00024341328374260517
14,0.8121052631578948,416,256,4,0.41136135726743295,0.00011486518462839184
32,0.8092105263157895,96,128,4,0.12217550014568118,0.0002692962878993179
31,0.8081578947368421,256,128,3,0.1803802534455622,0.004344856089890943
40,0.8052631578947368,352,64,4,0.10489531208591125,3.530056110505266e-05
0,0.8036842105263158,192,256,5,0.39279757672456206,0.0006251373574521745
2,0.7984210526315789,160,32,3,0.2727780074568463,7.476312062252303e-05
35,0.791578947368421,160,64,4,0.10780601380658122,8.1097717351954e-05
18,0.776578947368421,480,32,5,0.23301334178737584,3.138114923188206e-05
39,0.7689473684210526,96,256,2,0.2939275602754168,0.0014144355381479816
21,0.746578947368421,128,32,2,0.2644845999058439,5.37121301246345e-05
19,0.7228947368421053,448,256,4,0.3008726151532155,0.004953743436288618
30,0.6802631578947368,160,256,3,0.15483198601018694,5.8016814687404636e-05
25,0.6476315789473684,224,256,3,0.1393581323920609,0.009360513821343782
7,0.6321052631578947,64,128,1,0.11809091556421523,9.46217535646148e-05
5,0.615,64,64,3,0.11375540844608736,0.00534516611064682
6,0.5852631578947368,288,32,1,0.48783385110582345,0.002115429079726122
37,0.4623684210526316,32,32,1,0.13661322329114653,0.0007743798209030235
10,0.4242105263157895,512,256,2,0.3624612121496328,1.1321021804230373e-05
15,0.3655263157894737,256,32,5,0.32126630574990483,1.7194405116004045e-05
24,0.32473684210526316,128,32,5,0.26147017762427927,2.710691963082773e-05
36,0.3213157894736842,288,128,5,0.4861371170307683,0.0018297021653363782
45,0.2573684210526316,64,256,5,0.4093716412767584,0.0007129070258870412
42,0.215,96,128,5,0.39184885134145,0.0036358228171208197
46,0.19289473684210526,192,32,4,0.359352166823803,0.0028414013038913217
9,0.1581578947368421,32,32,5,0.38274293753904687,0.0015382308040279
1,0.1568421052631579,320,32,4,0.10823379771832098,0.008123245085588688
41,0.15657894736842104,64,128,5,0.4666192892635,0.0024430719768732114
4,0.12210526315789473,64,128,5,0.4862528132298237,0.002661901888489057
12,0.11657894736842105,352,256,4,0.37175572663053946,0.008848968092283515
43,0.11157894736842106,32,128,5,0.4594472197838499,0.007257856260965641
44,0.1036842105263158,160,128,4,0.48963358410549157,0.006619132708318085
